repo_owner,repo_name,Category,Number of Components,vulnerability-proneness-all,branches,releases,forks,watchers,stargazers,contributors,size,totalIssues,openIssues,totalPullRequests,openPullRequests,codeLines,vp-category-equalfreq
kitabisa,docker-slim-action,utilities,55,0.0,4,6,5,4,25,4,3973,15,1,8,0,3973000,0
ksivamuthu,aws-copilot-github-action,deployment,13,1.0,7,8,18,4,31,5,540,30,12,30,6,540000,0
layer5labs,kanvas-snapshot,code review,513,13.0,26,30,24,5,28,17,1213,30,5,30,2,1213000,2
laytan,setup-odin,utilities,120,14.0,3,17,3,3,19,3,16740,30,1,30,0,16740000,2
leanix,nx-affected-dependencies-action,deployment,9,3.0,11,3,0,2,17,2,357,30,10,30,6,357000,1
lhotari,action-upterm,utilities,2,1.0,2,1,35,5,427,4,40,30,16,7,1,40000,0
lindluni,actions-variable-groups,utilities,29,1.0,1,12,3,1,15,3,342,10,1,4,0,342000,0
loopwerk,tag-changelog,deployment,37,1.0,1,16,15,4,62,4,311,18,0,7,0,311000,0
lukka,run-cmake,dependency management,378,4.0,8,21,21,5,187,9,2361,30,8,30,0,2361000,1
lukka,run-vcpkg,dependency management,422,17.0,15,30,27,5,199,9,4251,30,4,30,0,4251000,2
lwojcik,github-action-feed-to-social-media,utilities,3,0.0,1,0,4,1,31,2,1871,30,0,30,0,1871000,0
machulav,ec2-github-runner,utilities,111,1.0,6,17,348,10,767,13,6121,30,67,30,7,6121000,0
mainmatter,ember-asset-size-action,deployment,124,10.0,11,6,15,6,22,10,2053,30,12,30,9,2053000,2
managedcode,mauiappversion,deployment,27,0.0,1,8,1,1,20,2,821,4,1,1,0,821000,0
manusa,actions-setup-minikube,container ci,43,5.0,6,27,27,4,61,5,16197,30,10,30,4,16197000,1
marocchino,validate-dependabot,dependency management,754,4.0,7,7,5,3,26,4,3869,30,11,30,5,3869000,1
martincostello,update-dotnet-sdk,utilities,72,4.0,1,30,1,3,18,5,14804,30,3,30,0,14804000,1
masci,datadog,monitoring,13,0.0,1,18,22,3,74,5,800,30,0,30,0,800000,0
matlab-actions,setup-matlab,utilities,61,0.0,8,24,13,9,79,6,2975,30,19,30,2,2975000,0
mattermost,action-mattermost-notify,utilities,17,2.0,1,6,10,34,44,5,2277,19,3,11,1,2277000,0
mattzcarey,code-review-gpt,code review,1162,19.0,30,21,184,25,1798,30,4332,30,7,30,1,4332000,2
mbogh,test-ssl-action,security,10,4.0,1,6,5,2,22,3,258,10,2,8,1,258000,1
mheap,automatic-approve-action,testing,32,1.0,8,10,2,3,15,3,773,23,5,17,5,773000,0
mheap,require-checklist-action,code review,30,1.0,7,11,18,3,27,7,593,30,6,30,5,593000,0
microsoft,richcodenavindexer,code review,380,40.0,13,30,14,8,26,13,80074,30,5,30,1,80074000,2
mikepenz,action-junit-report,testing,145,3.0,30,30,133,5,341,26,13753,30,9,30,4,13753000,1
mikesprague,teams-incoming-webhook-action,utilities,58,3.0,1,30,5,5,23,2,4710,30,3,30,0,4710000,1
mlg87,pr-reviewer-slack-notify-action,code review,1093,8.0,8,30,7,2,26,9,57203,30,9,30,1,57203000,2
mlugg,setup-zig,utilities,78,2.0,2,5,11,2,116,6,5353,24,7,11,0,5353000,0
moonrepo,setup-rust,utilities,406,4.0,1,27,9,4,102,4,5571,25,7,12,1,5571000,1
moropo-com,action-trigger-test-run,testing,44,5.0,4,14,1,1,13,6,986,30,1,30,0,986000,1
mrrobotdotapp,classic-discord-webhook,chat,62,4.0,1,8,8,2,17,7,3126,19,0,16,0,3126000,1
necojackarc,auto-request-review,code review,36,2.0,2,19,34,3,130,15,199,30,25,30,2,199000,0
nelonoel,branch-name,deployment,3,1.0,5,2,23,2,60,2,40,19,10,14,6,40000,0
nick-fields,retry,utilities,15,5.0,8,23,88,3,447,17,980,30,44,30,12,980000,1
nicklegan,github-org-repo-metrics-action,utilities,66,8.0,1,6,9,0,19,1,535,30,3,30,0,535000,2
nix-community,cache-nix-action,continuous integration,92,22.0,5,18,9,1,45,30,22173,30,12,11,0,22173000,2
nowsecure,nowsecure-action,security,480,27.0,2,4,15,8,37,8,6805,30,0,30,0,6805000,2
ookami-kb,gh-pr-size-watcher,code review,28,6.0,1,7,5,3,13,1,965,12,1,8,0,965000,1
oprypin,find-latest-tag,dependency management,28,1.0,3,8,15,3,34,4,3263,15,5,7,2,3263000,0
opsless,ms-teams-github-actions,continuous integration,55,13.0,11,20,8,4,39,5,1405,30,14,30,10,1405000,2
oracle-actions,run-oci-cli-command,deployment,18,1.0,6,7,9,5,29,2,792,30,5,30,5,792000,0
paambaati,codeclimate-action,code review,508,2.0,18,30,65,5,202,20,21610,30,13,30,5,21610000,0
parkerbxyz,suggest-changes,code review,26,1.0,7,10,6,4,13,6,1410,30,5,30,3,1410000,0
pascalgn,automerge-action,code review,389,9.0,11,30,215,9,877,30,1866,30,34,30,8,1866000,2
peaceiris,actions-mdbook,deployment,28,0.0,7,25,24,3,305,5,2009,30,18,30,4,2009000,0
peaceiris,actions-suggest-related-links,utilities,124,13.0,19,5,2,3,31,3,1387,30,24,30,13,1387000,2
peckjon,reject-pr-approval-from-committer,code review,33,1.0,5,4,3,0,11,11,771,24,5,22,4,771000,0
peter-evans,find-comment,utilities,36,3.0,1,16,63,4,189,8,2315,30,2,30,0,2315000,1
philips-software,sonar-scanner-action,code quality,387,4.0,6,7,16,2,12,11,1291,30,12,30,3,1291000,1
pixee,upload-tool-results-action,security,50,6.0,4,17,0,4,14,5,1999,30,2,30,0,1999000,1
shadowmoose,gha-loc-badge,utilities,22,3.0,4,1,16,2,36,2,1144,8,5,5,2,1144000,1
shallwefootball,upload-s3-action,continuous integration,73,3.0,1,10,158,2,169,9,270,30,30,30,8,270000,1
sherlo-io,sherlo,testing,2884,33.0,8,30,1,1,28,4,275109,30,1,30,1,275109000,2
shimataro,ssh-key-action,deployment,13,6.0,4,26,89,8,586,2,13425,30,15,30,2,13425000,1
shioyang,check-pr-labels-on-push-action,project management,24,3.0,3,13,18,2,16,1,201,30,4,30,2,201000,1
shogo82148,actions-setup-redis,testing,49,0.0,6,30,2,3,38,4,5695,30,7,30,4,5695000,0
shogo82148,actions-upload-release-asset,publishing,28,0.0,6,30,7,2,81,4,5971,30,6,30,3,5971000,0
shonansurvivors,actions-s3-cache,deployment,22,10.0,8,2,13,1,13,1,746,15,4,14,3,746000,2
sibiraj-s,action-eslint,code quality,31,4.0,1,15,15,4,47,9,598,22,3,11,1,598000,1
sinedied,publish-devto,deployment,526,5.0,2,1,8,5,39,3,1653,30,3,27,0,1653000,1
softprops,setup-aws-copilot,deployment,10,2.0,1,1,19,5,26,3,157,9,2,8,1,157000,0
squarecloudofc,github-action,deployment,32,3.0,1,7,0,0,18,3,753,1,0,1,0,753000,1
